X;Y;X;Y;X;Y;X;Y
0;0;102,5;0,007;25,153;0,107;301,875;0
0,625;0;149,034;0,003;;;301,875;0,0331
1,25;0;65,65;0,002;;;301,875;0,2
1,875;0;10,237;0,018;;;;
2,5;0;;;;;;
3,125;0;;;;;;
3,75;0;;;;;;
4,375;0;;;;;;
5;0;;;;;;
5,625;0;;;;;;
6,25;0;;;;;;
6,875;0;;;;;;
7,5;0;;;;;;
8,125;0;;;;;;
8,75;0;;;;;;
9,375;0;;;;;;
10;0,0179;;;;;;
10,625;0,027;;;;;;
11,25;0,0233;;;;;;
11,875;0,0098;;;;;;
12,5;0,0163;;;;;;
13,125;0,0222;;;;;;
13,75;0,0136;;;;;;
14,375;0,0035;;;;;;
15;0,0053;;;;;;
15,625;0,0067;;;;;;
16,25;0,0136;;;;;;
16,875;0,0148;;;;;;
17,5;0,0114;;;;;;
18,125;0,005;;;;;;
18,75;0,0007;;;;;;
19,375;0,006;;;;;;
20;0,0056;;;;;;
20,625;0,0026;;;;;;
21,25;0,0045;;;;;;
21,875;0,0013;;;;;;
22,5;0,0026;;;;;;
23,125;0,0119;;;;;;
23,75;0,0161;;;;;;
24,375;0,0393;;;;;;
25;0,1068;;;;;;
25,625;0,0742;;;;;;
26,25;0,0068;;;;;;
26,875;0,0022;;;;;;
27,5;0,0014;;;;;;
28,125;0,0019;;;;;;
28,75;0,0016;;;;;;
29,375;0,0018;;;;;;
30;0,0025;;;;;;
30,625;0,001;;;;;;
31,25;0,0005;;;;;;
31,875;0,0013;;;;;;
32,5;0,0013;;;;;;
33,125;0,0005;;;;;;
33,75;0,0009;;;;;;
34,375;0,0015;;;;;;
35;0,0004;;;;;;
35,625;0,0006;;;;;;
36,25;0,0013;;;;;;
36,875;0,0007;;;;;;
37,5;0,0007;;;;;;
38,125;0,0004;;;;;;
38,75;0,001;;;;;;
39,375;0,0003;;;;;;
40;0,0004;;;;;;
40,625;0,0005;;;;;;
41,25;0,0005;;;;;;
41,875;0,0008;;;;;;
42,5;0,0022;;;;;;
43,125;0,0032;;;;;;
43,75;0,0023;;;;;;
44,375;0,0009;;;;;;
45;0,0012;;;;;;
45,625;0,0027;;;;;;
46,25;0,0027;;;;;;
46,875;0,0048;;;;;;
47,5;0,008;;;;;;
48,125;0,005;;;;;;
48,75;0,0023;;;;;;
49,375;0,012;;;;;;
50;0,064;;;;;;
50,625;0,0638;;;;;;
51,25;0,0136;;;;;;
51,875;0,0021;;;;;;
52,5;0,0015;;;;;;
53,125;0,0018;;;;;;
53,75;0,0009;;;;;;
54,375;0,0016;;;;;;
55;0,001;;;;;;
55,625;0,0024;;;;;;
56,25;0,0026;;;;;;
56,875;0,0022;;;;;;
57,5;0,0009;;;;;;
58,125;0,0018;;;;;;
58,75;0,0016;;;;;;
59,375;0,0009;;;;;;
60;0,0012;;;;;;
60,625;0,0042;;;;;;
61,25;0,0049;;;;;;
61,875;0,0032;;;;;;
62,5;0,0007;;;;;;
63,125;0,0007;;;;;;
63,75;0,0023;;;;;;
64,375;0,004;;;;;;
65;0,002;;;;;;
65,625;0,0019;;;;;;
66,25;0,0017;;;;;;
66,875;0,0024;;;;;;
67,5;0,0008;;;;;;
68,125;0,0051;;;;;;
68,75;0,0037;;;;;;
69,375;0,0043;;;;;;
70;0,0055;;;;;;
70,625;0,0097;;;;;;
71,25;0,0095;;;;;;
71,875;0,0032;;;;;;
72,5;0,0108;;;;;;
73,125;0,0106;;;;;;
73,75;0,0034;;;;;;
74,375;0,005;;;;;;
75;0,0825;;;;;;
75,625;0,1203;;;;;;
76,25;0,0461;;;;;;
76,875;0,0044;;;;;;
77,5;0,0068;;;;;;
78,125;0,0096;;;;;;
78,75;0,0091;;;;;;
79,375;0,0044;;;;;;
80;0,002;;;;;;
80,625;0,009;;;;;;
81,25;0,0138;;;;;;
81,875;0,0051;;;;;;
82,5;0,0094;;;;;;
83,125;0,0134;;;;;;
83,75;0,0085;;;;;;
84,375;0,0064;;;;;;
85;0,0028;;;;;;
85,625;0,0034;;;;;;
86,25;0,0018;;;;;;
86,875;0,0027;;;;;;
87,5;0,0057;;;;;;
88,125;0,0034;;;;;;
88,75;0,0032;;;;;;
89,375;0,0013;;;;;;
90;0,0035;;;;;;
90,625;0,0049;;;;;;
91,25;0,0047;;;;;;
91,875;0,0066;;;;;;
92,5;0,0045;;;;;;
93,125;0,01;;;;;;
93,75;0,008;;;;;;
94,375;0,0015;;;;;;
95;0,0017;;;;;;
95,625;0,0036;;;;;;
96,25;0,0016;;;;;;
96,875;0,0029;;;;;;
97,5;0,0048;;;;;;
98,125;0,0081;;;;;;
98,75;0,0059;;;;;;
99,375;0,01;;;;;;
100;0,0683;;;;;;
100,625;0,1516;;;;;;
101,25;0,0808;;;;;;
101,875;0,0062;;;;;;
102,5;0,0074;;;;;;
103,125;0,0158;;;;;;
103,75;0,0136;;;;;;
104,375;0,0011;;;;;;
105;0,0065;;;;;;
105,625;0,0109;;;;;;
106,25;0,0111;;;;;;
106,875;0,0054;;;;;;
107,5;0,0034;;;;;;
108,125;0,0063;;;;;;
108,75;0,0073;;;;;;
109,375;0,0051;;;;;;
110;0,0016;;;;;;
110,625;0,0011;;;;;;
111,25;0,0014;;;;;;
111,875;0,0021;;;;;;
112,5;0,0023;;;;;;
113,125;0,0049;;;;;;
113,75;0,0075;;;;;;
114,375;0,0049;;;;;;
115;0,0085;;;;;;
115,625;0,011;;;;;;
116,25;0,0038;;;;;;
116,875;0,0082;;;;;;
117,5;0,0033;;;;;;
118,125;0,0162;;;;;;
118,75;0,0178;;;;;;
119,375;0,0094;;;;;;
120;0,0095;;;;;;
120,625;0,0036;;;;;;
121,25;0,0092;;;;;;
121,875;0,0021;;;;;;
122,5;0,0036;;;;;;
123,125;0,0123;;;;;;
123,75;0,0066;;;;;;
124,375;0,0021;;;;;;
125;0,0078;;;;;;
125,625;0,0247;;;;;;
126,25;0,0172;;;;;;
126,875;0,0025;;;;;;
127,5;0,0011;;;;;;
128,125;0,0035;;;;;;
128,75;0,0045;;;;;;
129,375;0,0012;;;;;;
130;0,0008;;;;;;
130,625;0,0024;;;;;;
131,25;0,0025;;;;;;
131,875;0,0028;;;;;;
132,5;0,0014;;;;;;
133,125;0,0006;;;;;;
133,75;0,0004;;;;;;
134,375;0,0021;;;;;;
135;0,0009;;;;;;
135,625;0,0025;;;;;;
136,25;0,0013;;;;;;
136,875;0,0002;;;;;;
137,5;0,0021;;;;;;
138,125;0,0011;;;;;;
138,75;0,002;;;;;;
139,375;0,0011;;;;;;
140;0,0038;;;;;;
140,625;0,0027;;;;;;
141,25;0,0011;;;;;;
141,875;0,0025;;;;;;
142,5;0,004;;;;;;
143,125;0,0035;;;;;;
143,75;0,0029;;;;;;
144,375;0,0014;;;;;;
145;0,0009;;;;;;
145,625;0,004;;;;;;
146,25;0,0049;;;;;;
146,875;0,0037;;;;;;
147,5;0,0025;;;;;;
148,125;0,0049;;;;;;
148,75;0,0027;;;;;;
149,375;0,003;;;;;;
150;0,0078;;;;;;
150,625;0,0375;;;;;;
151,25;0,0381;;;;;;
151,875;0,0144;;;;;;
152,5;0,0061;;;;;;
153,125;0,0085;;;;;;
153,75;0,0119;;;;;;
154,375;0,0044;;;;;;
155;0,0031;;;;;;
155,625;0,0044;;;;;;
156,25;0,0123;;;;;;
